# Omega_m                       Omega_b      neutrino_mass                   H0                       ns                          As                              w0                       wa
0.3158                   0.0494                   0.0                      67.32                    0.9661                   2.148752e-09             -1.0                                0.0
1.610138000000000125e-01 3.018879000000000007e-02 7.629508000000000123e-03 7.267361999999999966e+01 9.863148000000000470e-01 2.565209000000000173e-09 -1.077015999999999973e+00 -3.931169999999999942e-01
3.292766999999999777e-01 4.884552999999999812e-02 1.872069000000000094e-01 6.832596999999999809e+01 1.030388000000000082e+00 2.332097000000000120e-09 -1.093185000000000073e+00 4.180264000000000202e-01
2.898261999999999783e-01 5.290283999999999959e-02 5.522124999999999950e-02 7.424518999999999380e+01 9.399815000000000254e-01 2.948940999999999857e-09 -8.078182000000000418e-01 -3.127353999999999967e-01
4.285448000000000035e-01 8.323608000000000395e-02 3.992619000000000029e-02 6.242011999999999716e+01 1.013195999999999986e+00 1.887621000000000052e-09 -1.049085000000000045e+00 4.003011000000000208e-01
3.071853999999999973e-01 4.504790000000000183e-02 1.029397999999999980e-01 7.229698000000000491e+01 1.047830999999999957e+00 1.533544000000000097e-09 -1.096532000000000062e+00 -1.927628000000000119e-01
1.648430999999999924e-01 5.274710999999999983e-02 1.236806000000000016e-01 7.400383999999999673e+01 9.154461999999999877e-01 1.655538999999999943e-09 -8.897418999999999745e-01 2.084980999999999918e-01
3.320268000000000108e-01 4.203413999999999762e-02 2.528753999999999724e-01 7.065470000000000539e+01 9.217406000000000210e-01 2.721327999999999932e-09 -1.072516999999999943e+00 4.917373999999999912e-01
2.935665000000000080e-01 3.278471000000000163e-02 2.029700999999999866e-01 7.962906999999999869e+01 1.011471999999999927e+00 2.344428000000000127e-09 -1.124081000000000108e+00 5.949327000000000087e-02
3.062896999999999981e-01 3.409833000000000308e-02 9.088474000000000552e-02 7.278001000000000431e+01 9.109762000000000137e-01 1.790682999999999988e-09 -8.244770999999999628e-01 -4.605813999999999742e-02
2.190091999999999872e-01 4.686045999999999961e-02 1.713097000000000092e-01 7.761969000000000563e+01 1.033495000000000053e+00 2.643345000000000037e-09 -8.239328999999999681e-01 -1.200047999999999948e-01
